,Degsim
394,0.3634920299537974
395,0.4887225754502847
396,0.40238167062710584
397,0.5753999249387525
398,0.5490239143558302
399,0.5580382514379943
400,0.46572902915775083
401,0.421379853863304
402,0.5446506174549743
403,0.5503230965836087
404,0.5531623133114165
405,0.6090824523976008
406,0.5675221238642445
407,0.567721229600911
408,0.5193438892010465
409,0.5148015735990449
410,0.43628234779285063
411,0.3665191362186643
412,0.485564581541551
413,0.4809726093429445
414,0.2621635086810997
415,0.5992318065137416
416,0.5889730370371711
417,0.5058869149448457
418,0.32413386400091365
419,0.3737824300497735
420,0.43508109167048914
421,0.4168108037209561
422,0.5003730632290924
423,0.3668996773429266
424,0.49194468341069264
425,0.5000845811229981
426,0.41861545443706294
427,0.5595710841116758
428,0.6174846553528551
429,0.38437095589100256
430,0.5423605812120955
431,0.5549440950105629
432,0.34307487463837943
433,0.398456853699683
434,0.6025328337379429
435,0.37691617869740607
436,0.5281333626793419
437,0.46314035207029197
438,0.38034184294114265
439,0.3022637826821576
440,0.4052034269485024
441,0.4965178812329748
442,0.4577334360058683
443,0.41327902099377667
444,0.39626092390279427
445,0.5474097679035316
446,0.4741172289705554
447,0.51145134699311
448,0.339827281533504
449,0.6126537682927824
450,0.6007878822978082
451,0.5389289852906527
452,0.5224755649048496
453,0.5450352709341411
454,0.5021156932172819
455,0.4679842882180517
456,0.5971253639861734
457,0.47962176245826693
458,0.48277599868854726
459,0.4818787804091899
460,0.377733308354271
461,0.44593202556593947
462,0.49149446879708236
463,0.4191958130145538
464,0.41658410435990606
465,0.48444939067981385
466,0.48879969873005874
467,0.47974909140608724
468,0.32069039826944723
469,0.47505148387253293
470,0.307731601077054
471,0.5710580509367913
472,0.4235230541648434
473,0.6415758542616157
474,0.3574613448605647
475,0.40795729748003895
476,0.310150657604971
477,0.4169629690321283
478,0.5239288238746135
479,0.37065379399922865
480,0.35877985227544473
481,0.4425513251976441
482,0.36137387482439653
483,0.5476793755270529
484,0.4758409956545774
485,0.5198683142084032
486,0.564501996074301
487,0.5277134701942559
488,0.5920346684733184
489,0.4602047268420934
490,0.3374425562472597
491,0.38233921705954865
492,0.47964548120708567
493,0.36273469055338736
494,0.5221276679782579
495,0.39209591648877
496,0.575382493924795
497,0.4583092858887185
498,0.392435882654566
499,0.4438495062934632
500,0.5006961495113471
501,0.5275189321549629
502,0.47018316064503096
503,0.4693702892687779
504,0.4723126549155995
505,0.5311985678600462
506,0.4557460937598032
507,0.4659696876400516
508,0.4592280411513955
509,0.5745868809576903
510,0.4937755696055892
511,0.28096372055248714
512,0.44557155298537826
513,0.5381939541832729
514,0.5445729934784566
515,0.2580358052199606
516,0.40722152404276607
517,0.501849688060332
518,0.32078932716344344
519,0.4255286350234459
520,0.547299627071787
521,0.33739932569069186
522,0.3308671566550063
523,0.5815342177168119
524,0.5012870295937775
525,0.49809102537028715
526,0.49289092381258276
527,0.3433063209599344
528,0.56880185603223
529,0.30779373249081576
530,0.47730564375794315
531,0.4662136462048899
532,0.5558001853098764
533,0.48123828565484417
534,0.5464149316736453
535,0.4987284840171127
536,0.6318652855357991
537,0.5000099553963124
538,0.3216102936032893
539,0.503566892044738
540,0.45180792827850935
541,0.45977111441065377
542,0.4832443086217257
543,0.5724551108024083
544,0.5484985665010399
545,0.40262243788114194
546,0.5263636270637956
547,0.4681247321277424
548,0.48383893618910595
549,0.47912598061235884
550,0.5882334139283664
551,0.5404467769512256
552,0.4883618326610872
553,0.5163340012106594
554,0.3512268671791964
555,0.3463805071861151
556,0.30054308764224863
557,0.45449516697393155
558,0.36295638721949464
559,0.38382960863398613
560,0.5884989757955272
561,0.3919563079107321
562,0.30424004393378723
563,0.436260546458589
564,0.3433009256876617
565,0.451924508113063
566,0.498679911715317
567,0.40562475595210457
568,0.5162571574735486
569,0.5263183537446406
570,0.2536888161240851
571,0.3788761137944315
572,0.36146682725774737
573,0.5603788109270614
574,0.3644093261614692
575,0.383065144027693
576,0.5404912637080393
577,0.4228516174521859
578,0.40704071084860205
579,0.48332271528432136
580,0.37329788089326216
581,0.5025976823751584
582,0.26484085745868857
583,0.3670507476064841
584,0.3883220600937695
585,0.5198184554903447
586,0.6040045251375371
587,0.4947372868420393
588,0.5852572027123081
589,0.48086476946888485
590,0.36765573670102447
591,0.5439481426743675
592,0.50491745830308
593,0.40012131224220593
594,0.4518135640839029
595,0.4822784079170794
596,0.41738807601191164
597,0.4679158632879715
598,0.3838863012521658
599,0.5555302126186987
600,0.44272070420073295
601,0.4512722395119485
602,0.3862127283540021
603,0.4366823699271678
604,0.4047818882052268
605,0.5613221742581678
606,0.31269666510006106
607,0.44821973899177603
608,0.31439379991024025
609,0.41455443945787274
610,0.5612686076516619
611,0.38288073954365665
612,0.27776960600618905
613,0.39495492418798983
614,0.43412562221757345
